keyword;minimal_abbreviation;keyword_type
REFRESHABLE;;Attribute
REFRESH-AUDIT-POLICY;;Method
REGISTER-DOMAIN;;Method
REJECT-CHANGES;;Method
REJECTED;;Attribute
REJECT-ROW-CHANGES;;Method
RELATION-FIELDS;;Attribute
RELATIONS-ACTIVE;;Attribute
REMOTE;;Attribute
REMOTE-HOST;;Attribute
REMOTE-PORT;;Attribute
REMOVE-ATTRIBUTE;;Method
REMOVE-CHILD;;Method
REMOVE-EVENTS-PROCEDURE;;Method
REMOVE-SUPER-PROCEDURE;;Method
REPLACE;;Method
REPLACE-CHILD;;Method
REPLACE-SELECTION-TEXT;;Method
REPOSITION;;Attribute
REPOSITION-BACKWARD;;Method
REPOSITION-FORWARD;;Method
REPOSITION-TO-ROW;;Method
REPOSITION-TO-ROWID;;Method
REQUEST-INFO;;Attribute
RESET;;Method
RESIZABLE;;Attribute
RESIZE;;Attribute
RESPONSE-INFO;;Attribute
RESTART-ROW;;Attribute
RESTART-ROWID;;Attribute
RETAIN-SHAPE;;Attribute
RETURN-INSERTED;;Attribute
RETURN-VALUE;;Attribute
RETURN-VALUE-DATA-TYPE;;Attribute
RETURN-VALUE-DLL-TYPE;;Attribute
ROLE;;Attribute
ROLES;;Attribute
ROUNDED;;Attribute
ROW;;Attribute
ROW-HEIGHT-CHARS;;Attribute
ROW-HEIGHT-PIXELS;;Attribute
ROWID;;Attribute
ROWID;;DataType
ROW-MARKERS;;Attribute
ROW-RESIZABLE;;Attribute
ROW-STATE;;Attribute
SAVE;;Method
SAVE-FILE;;Method
SAVE-ROW-CHANGES;;Method
SAVE-WHERE-STRING;;Attribute
SAX-PARSE;;Method
SAX-PARSE-FIRST;;Method
SAX-PARSE-NEXT;;Method
SCHEMA-CHANGE;;Attribute
SCHEMA-LOCATION;;Attribute
SCHEMA-MARSHAL;;Attribute
SCHEMA-PATH;;Attribute
SCREEN-LINES;;Attribute
SCREEN-VALUE;;Attribute
SCROLLABLE;;Attribute
SCROLLBAR-HORIZONTAL;;Attribute
SCROLL-BARS;;Attribute
SCROLLBAR-VERTICAL;;Attribute
SCROLL-TO-CURRENT-ROW;;Method
SCROLL-TO-ITEM;;Method
SCROLL-TO-SELECTED-ROW;;Method
SEAL;;Method
SEAL-TIMESTAMP;;Attribute
SEARCH;;Method
SELECTABLE;;Attribute
SELECT-ALL;;Method
SELECTED;;Attribute
SELECT-FOCUSED-ROW;;Method
SELECTION-END;;Attribute
SELECTION-LIST;;Widget
SELECTION-START;;Attribute
SELECTION-TEXT;;Attribute
SELECT-NEXT-ROW;;Method
SELECT-PREV-ROW;;Method
SELECT-ROW;;Method
SENSITIVE;;Attribute
SEPARATOR-FGCOLOR;;Attribute
SEPARATORS;;Attribute
SERIALIZE-HIDDEN;;Attribute
SERIALIZE-NAME;;Attribute
SERIALIZE-ROW;;Method
SERVER;;Attribute
SERVER-CONNECTION-BOUND;;Attribute
SERVER-CONNECTION-BOUND-REQUEST;;Attribute
SERVER-CONNECTION-CONTEXT;;Attribute
SERVER-CONNECTION-ID;;Attribute
SERVER-OPERATING-MODE;;Attribute
SESSION-END;;Attribute
SESSION-ID;;Attribute
SET-ACTOR;;Method
SET-APPL-CONTEXT;;Method
SET-ATTRIBUTE;;Method
SET-ATTRIBUTE-NODE;;Method
SET-BLUE-VALUE;;Method
SET-BREAK;;Method
SET-BUFFERS;;Method
SET-CALLBACK;;Method
SET-CALLBACK-PROCEDURE;;Method
SET-CLIENT;;Method
SET-COMMIT;;Method
SET-CONNECT-PROCEDURE;;Method
SET-DYNAMIC;;Method
SET-GREEN-VALUE;;Method
SET-INPUT-SOURCE;;Method
SET-MUST-UNDERSTAND;;Method
SET-NODE;;Method
SET-NUMERIC-FORMAT;;Method
SET-OUTPUT-DESTINATION;;Method
SET-PARAMETER;;Method
SET-PROPERTY;;Method
SET-READ-RESPONSE-PROCEDURE;;Method
SET-RED-VALUE;;Method
SET-REPOSITIONED-ROW;;Method
SET-RGB-VALUE;;Method
SET-ROLE;;Method
SET-ROLLBACK;;Method
SET-SAFE-USER;;Method
SET-SELECTION;;Method
SET-SERIALIZED;;Method
SET-SOCKET-OPTION;;Method
SET-SORT-ARROW;;Method
SET-WAIT-STATE;;Method
SHADOW-WINDOW;;Widget
SHORT;;DataType
SHOW-IN-TASKBAR;;Attribute
SIDE-LABEL-HANDLE;;Attribute
SIDE-LABELS;;Attribute
SIGNATURE-VALUE;;Attribute
SINGLE-RUN;;Attribute
SINGLETON;;Attribute
SKIP-DELETED-RECORD;;Attribute
SLIDER;;Widget
SMALL-ICON;;Attribute
SMALL-TITLE;;Attribute
SOAP-FAULT-ACTOR;;Attribute
SOAP-FAULT-CODE;;Attribute
SOAP-FAULT-DETAIL;;Attribute
SOAP-FAULT-MISUNDERSTOOD-HEADER;;Attribute
SOAP-FAULT-NODE;;Attribute
SOAP-FAULT-ROLE;;Attribute
SOAP-FAULT-STRING;;Attribute
SOAP-FAULT-SUBCODE;;Attribute
SOAP-VERSION;;Attribute
SORT;;Attribute
SORT-ASCENDING;;Attribute
SORT-NUMBER;;Attribute
SSL-SERVER-NAME;;Attribute
STANDALONE;;Attribute
START-DOCUMENT;;Method
START-ELEMENT;;Method
STARTUP-PARAMETERS;;Attribute
STATE-DETAIL;;Attribute
STATISTICS;;Attribute
STATUS-AREA;;Attribute
STATUS-AREA-FONT;;Attribute
STOP;;Attribute
STOP-OBJECT;;Attribute
STOP-PARSING;;Method
STOPPED;;Attribute
STREAM;;Attribute
STRETCH-TO-FIT;;Attribute
STRICT;;Attribute
STRICT-ENTITY-RESOLUTION;;Attribute
STRING-VALUE;;Method
SUB-MENU;SUB-;Widget
SUBTYPE;;Attribute
SUPER-PROCEDURES;;Attribute
SUPPRESS-NAMESPACE-PROCESSING;;Attribute
SUPPRESS-WARNINGS;;Attribute
SUPPRESS-WARNINGS-LIST;;Attribute
SYMMETRIC-ENCRYPTION-AAD;;Attribute
SYMMETRIC-ENCRYPTION-ALGORITHM;;Attribute
SYMMETRIC-ENCRYPTION-IV;;Attribute
SYMMETRIC-ENCRYPTION-KEY;;Attribute
SYMMETRIC-SUPPORT;;Attribute
SYNCHRONIZE;;Method
SYSTEM-ALERT-BOXES;;Attribute
SYSTEM-ID;;Attribute
TABLE;;Attribute
TABLE;;DataType
TABLE-CRC-LIST;;Attribute
TABLE-HANDLE;;Attribute
TABLE-HANDLE;;DataType
TABLE-LIST;;Attribute
TABLE-NUMBER;;Attribute
TAB-POSITION;;Attribute
TAB-STOP;;Attribute
TAG;;Attribute
TEMP-DIRECTORY;;Attribute
TEMP-TABLE-PREPARE;;Method
TENANT-ID;;Method
TENANT-NAME;;Method
TEXT;;Widget
TEXT-SELECTED;;Attribute
THREAD-SAFE;;Attribute
THREE-D;;Attribute
TIC-MARKS;;Attribute
TIME-SOURCE;;Attribute
TIMEZONE;;Attribute
TITLE;;Attribute
TITLE-BGCOLOR;;Attribute
TITLE-DCOLOR;;Attribute
TITLE-FGCOLOR;;Attribute
TITLE-FONT;;Attribute
TOGGLE-BOX;;Attribute
TOGGLE-BOX;;Widget
TOOLTIP;;Attribute
TOOLTIPS;;Attribute
TOP;;Attribute
TOP-NAV-QUERY;;Attribute
TOP-ONLY;;Attribute
TRACE-FILTER;;Attribute
TRACING;;Attribute
TRACKING-CHANGES;;Attribute
TRANSACTION;;Attribute
TRANS-INIT-PROCEDURE;;Attribute
TRANSPARENT;;Attribute
TYPE;;Attribute
UNDO;;Attribute
UNDO-THROW-SCOPE;;Attribute
UNIQUE-ID;;Attribute
UNIQUE-MATCH;;Attribute
UNSIGNEDLONG;;DataType
UNSIGNED-LONG;;DataType
UNSIGNEDSHORT;;DataType
UNSIGNED-SHORT;;DataType
UPDATE-ATTRIBUTE;;Method
URL;;Attribute
URL-DECODE;;Method
URL-ENCODE;;Method
URL-PASSWORD;;Attribute
URL-USERID;;Attribute
USER-DATA ;;Method
USER-ID;;Attribute
V6DISPLAY;;Attribute
VALIDATE;;Method
VALIDATE-DOMAIN-ACCESS-CODE;;Method
VALIDATE-EXPRESSION;;Attribute
VALIDATE-MESSAGE;;Attribute
VALIDATE-SEAL;;Method
VALIDATE-XML;;Attribute
VALIDATION-ENABLED;;Attribute
VALUE;;Attribute
VERSION;;Attribute
VIEW-AS;;Attribute
VIEW-FIRST-COLUMN-ON-REOPEN;;Attribute
VIRTUAL-HEIGHT-CHARS;;Attribute
VIRTUAL-HEIGHT-PIXELS;;Attribute
VIRTUAL-WIDTH-CHARS;;Attribute
VIRTUAL-WIDTH-PIXELS;;Attribute
VISIBLE;;Attribute
WARNING;;Attribute
WC-ADMIN-APP;;Attribute
WHERE-STRING;;Attribute
WIDGET;;DataType
WIDGET-ENTER;;Attribute
WIDGET-HANDLE;;Attribute
WIDGET-HANDLE;;DataType
WIDGET-ID;;Attribute
WIDGET-LEAVE;;Attribute
WIDTH;;Attribute
WIDTH-CHARS;;Attribute
WIDTH-PIXELS;;Attribute
WINDOW;;Attribute
WINDOW;;Widget
WINDOW-STATE;;Attribute
WINDOW-SYSTEM;;Attribute
WORD-WRAP;;Attribute
WORK-AREA-HEIGHT-PIXELS;;Attribute
WORK-AREA-WIDTH-PIXELS;;Attribute
WORK-AREA-X;;Attribute
WORK-AREA-Y;;Attribute
WRITE;;Method
WRITE-CDATA;;Method
WRITE-CHARACTERS;;Method
WRITE-COMMENT;;Method
WRITE-DATA;;Method
WRITE-DATA-ELEMENT;;Method
WRITE-EMPTY-ELEMENT;;Method
WRITE-ENTITY-REF;;Method
WRITE-EXTERNAL-DTD;;Method
WRITE-FRAGMENT;;Method
WRITE-JSON;;Method
WRITE-MESSAGE;;Method
WRITE-PROCESSING-INSTRUCTION;;Method
WRITE-STATUS;;Attribute
WRITE-XML;;Method
WRITE-XMLSCHEMA;;Method
X;;Attribute
XCODE-SESSION-KEY;;Attribute
X-DOCUMENT;;Attribute
XML-DATA-TYPE;;Attribute
XML-ENTITY-EXPANSION-LIMIT;;Attribute
XML-NODE-NAME;;Attribute
XML-NODE-TYPE;;Attribute
XML-SCHEMA-PATH;;Attribute
XML-STRICT-ENTITY-RESOLUTION;;Attribute
XML-SUPPRESS-NAMESPACE-PROCESSING;;Attribute
XOR;;Operator
Y;;Attribute
YEAR-OFFSET;;Attribute
ENTERED;;Operator
ABSOLUTE;;Function
ACCUM;;Function
ADD-INTERVAL;;Function
ALIAS;;Function
AMBIGUOUS;;Function
ASC;;Function
AUDIT-ENABLED;;Function
AVAILABLE;;Function
BASE64-DECODE;;Function
BASE64-ENCODE;;Function
BOX;;Function
BUFFER-GROUP-ID;;Function
BUFFER-GROUP-NAME;;Function
BUFFER-PARTITION-ID;;Function
BUFFER-TENANT-ID;;Function
BUFFER-TENANT-NAME;;Function
CAN-DO;;Function
CAN-FIND;;Function
CAN-QUERY;;Function
CAN-SET;;Function
CAPS;;Function
CAST;;Function
CHR;;Function
CODEPAGE-CONVERT;;Function
COMPARE;;Function
CONNECTED;;Function
COUNT-OF;;Function
CURRENT-CHANGED;;Function
CURRENT-LANGUAGE;;Function
CURRENT-RESULT-ROW;;Function
CURRENT-VALUE;;Function
DATASERVERS;;Function
DATA-SOURCE-MODIFIED;;Function
DATE;;Function
DATETIME;;Function
DATETIME-TZ;;Function
DAY;;Function
DBCODEPAGE;;Function
DBCOLLATION;;Function
DBNAME;;Function
DBPARAM;;Function
DB-REMOTE-HOST;;Function
DBRESTRICTIONS;;Function
DBTASKID;;Function
DBTYPE;;Function
DBVERSION;;Function
DECIMAL;;Function
DECRYPT;;Function
DEFINED;;Function
DYNAMIC-CAST;;Function
DYNAMIC-CURRENT-VALUE;;Function
DYNAMIC-ENUM;;Function
DYNAMIC-FUNCTION;;Function
DYNAMIC-INVOKE;;Function
DYNAMIC-NEXT-VALUE;;Function
DYNAMIC-PROPERTY;;Function
ENCODE;;Function
ENCRYPT;;Function
ENTERED;;Function
ENTRY;;Function
ERROR;;Function
ETIME;;Function
EXP;;Function
EXTENT;;Function
FILL;;Function
FIRST;;Function
FIRST-OF;;Function
FRAME-COL;;Function
FRAME-DB;;Function
FRAME-DOWN;;Function
FRAME-FIELD;;Function
FRAME-FILE;;Function
FRAME-INDEX;;Function
FRAME-LINE;;Function
FRAME-NAME;;Function
FRAME-ROW;;Function
FRAME-VALUE;;Function
FUNCTION;;statement
GATEWAYS;;Function
GENERATE-PBE-KEY;;Function
GENERATE-PBE-SALT;;Function
GENERATE-RANDOM-KEY;;Function
GENERATE-UUID;;Function
GET-BITS;;Function
GET-BYTE;;Function
GET-BYTE-ORDER;;Function
GET-BYTES;;Function
GET-CLASS;;Function
GET-CODEPAGE;;Function
GET-CODEPAGES;;Function
GET-COLLATION;;Function
GET-COLLATIONS;;Function
GET-DB-CLIENT;;Function
GET-DOUBLE;;Function
GET-EFFECTIVE-TENANT-ID;;Function
GET-EFFECTIVE-TENANT-NAME;;Function
GET-FLOAT;;Function
GET-INT64;;Function
GET-LONG;;Function
GET-POINTER-VALUE;;Function
GET-SHORT;;Function
GET-SIZE;;Function
GET-STRING;;Function
GET-UNSIGNED-LONG;;Function
GET-UNSIGNED-SHORT;;Function
GO-PENDING;;Function
GUID;;Function
HANDLE;;Function
HEX-DECODE;;Function
HEX-ENCODE;;Function
IF;;Function
THEN;;Function
ELSE;;Function
INDEX;;Function
INPUT;;Function
INT64;;Function
INTEGER;;Function
INTERVAL;;Function
IS-ATTR-SPACE;;Function
IS-CODEPAGE-FIXED;;Function
IS-COLUMN-CODEPAGE;;Function
IS-DB-MULTI-TENANT;;Function
IS-LEAD-BYTE;;Function
ISO-DATE;;Function
KBLABEL;;Function
KEYCODE;;Function
KEYFUNCTION;;Function
KEYLABEL;;Function
KEYWORD;;Function
KEYWORD-ALL;;Function
LAST;;Function
LASTKEY;;Function
LAST-OF;;Function
LC;;Function
LDBNAME;;Function
LEFT-TRIM;;Function
LENGTH;;Function
LIBRARY;;Function
LINE-COUNTER;;Function
LIST-EVENTS;;Function
LIST-QUERY-ATTRS;;Function
LIST-SET-ATTRS;;Function
LIST-WIDGETS;;Function
LOCKED;;Function
LOG;;Function
LOGICAL;;Function
LOOKUP;;Function
MAXIMUM;;Function
MD5-DIGEST;;Function
MEMBER;;Function
MESSAGE-DIGEST;;Function
MESSAGE-LINES;;Function
MINIMUM;;Function
MONTH;;Function
MTIME;;Function
NEW;;Function
NEXT-VALUE;;Function
NORMALIZE;;Function
NOW;;Function
NUM-ALIASES;;Function
NUM-DBS;;Function
NUM-ENTRIES;;Function
NUM-RESULTS;;Function
OPSYS;;Function
OS-DRIVES;;Function
OS-ERROR;;Function
OS-GETENV;;Function
PAGE-NUMBER;;Function
PAGE-SIZE;;Function
PDBNAME;;Function
PROCESS-ARCHITECTURE;;Function
PROC-HANDLE;;Function
PROC-STATUS;;Function
PROGRAM-NAME;;Function
PROGRESS;;Function
PROMSGS;;Function
PROPATH;;Function
PROVERSION;;Function
QUERY-OFF-END;;Function
QUOTER;;Function
RANDOM;;Function
RAW;;Function
RECID;;Function
RECORD-LENGTH;;Function
REJECTED;;Function
REPLACE;;Function
RETRY;;Function
RETURN-VALUE;;Function
RGB-VALUE;;Function
RIGHT-TRIM;;Function
R-INDEX;;Function
ROUND;;Function
ROWID;;Function
ROW-STATE;;Function
SCREEN-LINES;;Function
SDBNAME;;Function
SEARCH;;Function
SEEK;;Function
SET-DB-CLIENT;;Function
SET-EFFECTIVE-TENANT;;Function
SETUSERID;;Function
SHA1-DIGEST;;Function
SQRT;;Function
SSL-SERVER-NAME;;Function
STRING;;Function
SUBSTITUTE;;Function
SUBSTRING;;Function
SUPER;;Function
TENANT-ID;;Function
TENANT-NAME;;Function
TENANT-NAME-TO-ID;;Function
TERMINAL;;Function
TIME;;Function
TIMEZONE;;Function
TODAY;;Function
TO-ROWID;;Function
TRANSACTION;;Function
TRIM;;Function
TRUNCATE;;Function
TYPE-OF;;Function
UNBOX;;Function
USERID;;Function
VALID-EVENT;;Function
VALID-HANDLE;;Function
VALID-OBJECT;;Function
WEEKDAY;;Function
WIDGET-HANDLE;;Function
YEAR;;Function
ACCUMULATE;;Statement
AGGREGATE;;Statement
APPLY;;Statement
ASSIGN;;Statement
BELL;;Statement
BLOCK-LEVEL;;Statement
BUFFER-COMPARE;;Statement
BUFFER-COPY;;Statement
CALL;;Statement
CASE;;Statement
CATCH;;Statement
CHOOSE;;Statement
CLASS;;Statement
CLEAR;;Statement
CLOSE;;Statement
STORED-PROCEDURE;;Statement
COLOR;;Statement
COMPILE;;Statement
CONNECT;;Statement
CONSTRUCTOR;;Statement
COPY-LOB;;Statement
CREATE;;Statement
ALIAS;;Statement
BROWSE;;Statement
BUFFER;;Statement
CALL;;Statement
CLIENT-PRINCIPAL;;Statement
DATABASE;;Statement
DATASET;;Statement
DATA-SOURCE;;Statement
QUERY;;Statement
SAX-ATTRIBUTES;;Statement
SAX-READER;;Statement
SAX-WRITER;;Statement
SERVER;;Statement
SERVER-SOCKET;;Statement
SOAP-HEADER;;Statement
SOAP-HEADER-ENTRYREF;;Statement
SOCKET;;Statement
TEMP-TABLE;;Statement
widget;;Statement
WIDGET-POOL;;Statement
X-DOCUMENT;;Statement
X-NODEREF;;Statement
CURRENT-LANGUAGE;;Statement
CURRENT-VALUE;;Statement
DDE;;Statement
ADVISE;;Statement
EXECUTE;;Statement
GET;;Statement
INITIATE;;Statement
REQUEST;;Statement
SEND;;Statement
TERMINATE;;Statement
DEFINE;;Statement
BROWSE;;Statement
BUFFER;;Statement
BUTTON;;Statement
DATASET;;Statement
DATA-SOURCE;;Statement
ENUM;;Statement
EVENT;;Statement
FRAME;;Statement
IMAGE;;Statement
MENU;;Statement
PARAMETER;;Statement
PROPERTY;;Statement
QUERY;;Statement
RECTANGLE;;Statement
STREAM;;Statement
SUB-MENU;;Statement
TEMP-TABLE;;Statement
VARIABLE;;Statement
WORK-TABLE;;Statement
WORKFILE;;Statement
DELETE;;Statement
ALIAS;;Statement
OBJECT;;Statement
PROCEDURE;;Statement
WIDGET;;Statement
WIDGET-POOL;;Statement
DESTRUCTOR;;Statement
DICTIONARY;;Statement
DISABLE;;Statement
TRIGGERS;;Statement
DISCONNECT;;Statement
DISPLAY;;Statement
DO;;Statement
DOS;;Statement
DOWN;;Statement
DYNAMIC-CURRENT-VALUE;;Statement
DYNAMIC-NEW;;Statement
DYNAMIC-PROPERTY;;Statement
EMPTY;;Statement
TEMP-TABLE;;Statement
ENABLE;;Statement
END;;Statement
ENTRY;;Statement
ENUM;;Statement
EXPORT;;Statement
EXTENT;;Statement
FINALLY;;Statement
FIND;;Statement
FIX-CODEPAGE;;Statement
FOR;;Statement
FORM;;Statement
FRAME-VALUE;;Statement
GET;;Statement
GET-KEY-VALUE;;Statement
HIDE;;Statement
IMPORT;;Statement
INPUT;;Statement
CLEAR;;Statement
CLOSE;;Statement
FROM;;Statement
THROUGH;;Statement
INPUT-OUTPUT;;Statement
CLOSE;;Statement
THROUGH;;Statement
INSERT;;Statement
INTERFACE;;Statement
LEAVE;;Statement
LENGTH;;Statement
LOAD;;Statement
LOAD-PICTURE;;Statement
MESSAGE;;Statement
METHOD;;Statement
NEW;;Statement
NEXT;;Statement
NEXT-PROMPT;;Statement
ON;;Statement
OPEN;;Statement
OS-APPEND;;Statement
OS-COMMAND;;Statement
OS-COPY;;Statement
OS-CREATE-DIR;;Statement
OS-DELETE;;Statement
OS-RENAME;;Statement
OUTPUT;;Statement
CLOSE;;Statement
THROUGH;;Statement
TO;;Statement
OVERLAY;;Statement
PAGE;;Statement
PAUSE;;Statement
PROCEDURE;;Statement
PROCESS;;Statement
EVENTS;;Statement
PROMPT-FOR;;Statement
PROMSGS;;Statement
PROPATH;;Statement
PUBLISH;;Statement
CURSOR;;Statement
SCREEN;;Statement
PUT;;Statement
PUT-BITS;;Statement
PUT-BYTE;;Statement
PUT-BYTES;;Statement
PUT-DOUBLE;;Statement
PUT-FLOAT;;Statement
PUT-INT64;;Statement
PUT-KEY-VALUE;;Statement
PUT-LONG;;Statement
PUT-SHORT;;Statement
PUT-STRING;;Statement
PUT-UNSIGNED-LONG;;Statement
PUT-UNSIGNED-SHORT;;Statement
QUIT;;Statement
RAW;;Statement
RAW-TRANSFER;;Statement
READKEY;;Statement
RELEASE;;Statement
EXTERNAL;;Statement
OBJECT;;Statement
REPEAT;;Statement
REPOSITION;;Statement
RETURN;;Statement
ROUTINE-LEVEL;;Statement
RUN;;Statement
STORED-PROCEDURE;;Statement
SUPER;;Statement
SAVE;;Statement
CACHE;;Statement
SCROLL;;Statement
SEEK;;Statement
SET;;Statement
SET-BYTE-ORDER;;Statement
SET-POINTER-VALUE;;Statement
SET-SIZE;;Statement
SHOW-STATS;;Statement
STATUS;;Statement
STOP;;Statement
SUBSCRIBE;;Statement
SUBSTRING;;Statement
SUPER;;Statement
SYSTEM-DIALOG;;Statement
COLOR;;Statement
FONT;;Statement
GET-DIR;;Statement
GET-FILE;;Statement
PRINTER-SETUP;;Statement
SYSTEM-HELP;;Statement
TERMINAL;;Statement
THIS-OBJECT;;Statement
TRANSACTION-MODE;;Statement
AUTOMATIC;;Statement
TRIGGER;;Statement
PROCEDURE;;Statement
UNDERLINE;;Statement
UNDO;;Statement
UNIX;;Statement
UNLOAD;;Statement
UNSUBSCRIBE;;Statement
UP;;Statement
UPDATE;;Statement
USE;;Statement
USING;;Statement
VALIDATE;;Statement
VAR;;Statement
VIEW;;Statement
WAIT-FOR;;Statement
ERROR;;Statement
THROW;;Statement
IF;;Statement
THEN;;Statement
ELSE;;Statement
CASE;;Statement
WHEN ;;Statement
OTHERWISE;;Statement
ABSTRACT;;Other
ACTIVE-FORM;;Other
ACTIVE-WINDOW;;Other
ADD;;Other
ALERT-BOX;;Other
ALL;;Other
ALLOW-REPLICATION;;Other
ALTER;;Other
ANALYZE;;Other
ANSI-ONLY;;Other
ANY;;Other
ANYWHERE;;Other
APPEND;;Other
APPLICATION;;Other
ARRAY-MESSAGE;;Other
AS;;Other
ASCENDING;;Other
ASK-OVERWRITE;;Other
ASSEMBLY;;Other
AT;;Other
AUDIT-CONTROL;;Other
AUDIT-POLICY;;Other
AUTHORIZATION;;Other
AUTO-ENDKEY;;Other
AVERAGE;;Other
AVG;;Other
BACKWARDS;;Other
BASE-KEY;;Other
BEFORE-HIDE;;Other
BETWEEN;;Other
BIG-ENDIAN;;Other
BINARY;;Other
BIND;;Other
BIND-WHERE;;Other
BREAK;;Other
BUTTONS;;Other
BY;;Other
BY-POINTER;;Other
BY-VARIANT-POINTER;;Other
CACHE-SIZE;;Other
CDECL;;Other
CHAINED;;Other
CHARACTER_LENGTH;;Other
CHECK;;Other
CLIPBOARD;;Other
CODEBASE-LOCATOR;;Other
COLLATE;;Other
COL-OF;;Other
COLON;;Other
COLON-ALIGNED;;Other
COLOR-TABLE;;Other
COLUMN-OF;;Other
COLUMNS;;Other
COMMAND;;Other
COMPARES;;Other
COMPILER;;Other
COM-SELF;;Other
CONTAINS;;Other
CONTENTS;;Other
CONTEXT;;Other
CONTEXT-POPUP;;Other
CONTROL;;Other
CONVERT;;Other
COUNT;;Other
CREATE-TEST-FILE;;Other
CURRENT;;Other
CURRENT_DATE;;Other
CURRENT_DATE;;Other
DATA-BIND;;Other
DATA-RELATION;;Other
DEBUGGER;;Other
DEBUG-LIST;;Other
DECLARE;;Other
DEFAULT-EXTENSION;;Other
DEFAULT-NOXLATE;;Other
DEFAULT-WINDOW;;Other
DEFINE-USER-EVENT-MANAGER;;Other
DELEGATE;;Other
DESC;;Other
DESCENDING;;Other
DESELECTION;;Other
DIR;;Other
DISABLED;;Other
DISP;;Other
DISTINCT;;Other
DROP;;Other
DROP-DOWN;;Other
DROP-DOWN-LIST;;Other
DROP-FILE-NOTIFY;;Other
DS-CLOSE-CURSOR;;Other
DSLOG-MANAGER;;Other
DUMP;;Other
EACH;;Other
ECHO;;Other
EDITING;;Other
ENABLED-FIELDS;;Other
ENDKEY;;Other
END-KEY;;Other
END-MOVE;;Other
END-RESIZE;;Other
END-ROW-RESIZE;;Other
ERROR-STATUS;;Other
ESCAPE;;Other
EVENT-HANDLER-CONTEXT;;Other
EXCEPT;;Other
EXCLUSIVE-LOCK;;Other
EXCLUSIVE-WEB-USER;;Other
EXISTS;;Other
EXPLICIT;;Other
EXTENDED;;Other
FALSE;;Other
FETCH;;Other
FIELD;;Other
FIELDS;;Other
FILE;;Other
FILE-INFO;;Other
FILENAME;;Other
FILTERS;;Other
FINAL;;Other
FIND-CASE-SENSITIVE;;Other
FINDER;;Other
FIND-GLOBAL;;Other
FIND-NEXT-OCCURRENCE;;Other
FIND-PREV-OCCURRENCE;;Other
FIND-SELECT;;Other
FIND-WRAP-AROUND;;Other
FIRST-ASYNCH-REQUEST;;Other
FIXED-ONLY;;Other
FOCUS;;Other
FONT-TABLE;;Other
FORCE-FILE;;Other
FORWARD;;Other
FORWARDS;;Other
FROM-CHARS;;Other
FROM-CURRENT;;Other
FROM-PIXELS;;Other
FUNCTION-CALL-TYPE;;Other
GET-ATTR-CALL-TYPE;;Other
GETBYTE;;Other
GLOBAL;;Other
GO-ON;;Other
GRANT;;Other
GROUP;;Other
HAVING;;Other
HEADER;;Other
HOST-BYTE-ORDER;;Other
IMAGE-SIZE;;Other
IMAGE-SIZE-CHARS;;Other
IMAGE-SIZE-PIXELS;;Other
IMPLEMENTS;;Other
IN;;Other
INDEXED-REPOSITION;;Other
INDEX-HINT;;Other
INDICATOR;;Other
INFORMATION;;Other
INHERITS;;Other
INITIAL-DIR;;Other
INITIAL-FILTER;;Other
INTO;;Other
IS;;Other
ITEM;;Other
JOIN;;Other
JOIN-BY-SQLDB;;Other
KEEP-MESSAGES;;Other
KEEP-TAB-ORDER;;Other
KEYCACHE-JOIN;;Other
KEY-CODE;;Other
KEY-FUNCTION;;Other
KEY-LABEL;;Other
LABEL-PFCOLOR;;Other
LANDSCAPE;;Other
LAST-ASYNCH-REQUEST;;Other
LAST-EVENT;;Other
LAST-KEY;;Other
LEFT-ALIGNED;;Other
LIKE;;Other
LIKE-SEQUENTIAL;;Other
LISTING;;Other
LITTLE-ENDIAN;;Other
LOG-MANAGER;;Other
LOOKAHEAD;;Other
MAP;;Other
MARGIN-EXTRA;;Other
MARGIN-HEIGHT-CHARS;;Other
MARGIN-HEIGHT-PIXELS;;Other
MARGIN-WIDTH-CHARS;;Other
MARGIN-WIDTH-PIXELS;;Other
MAX;;Other
MAX-HEIGHT;;Other
MAXIMIZE;;Other
MAX-ROWS;;Other
MAX-SIZE;;Other
MAX-WIDTH;;Other
MENUBAR;;Other
MIN;;Other
MIN-SIZE;;Other
MOUSE;;Other
MPE;;Other
MULTIPLE-KEY;;Other
MUST-EXIST;;Other
NATIVE;;Other
NEW-INSTANCE;;Other
NO;;Other
NO-APPLY;;Other
NO-ARRAY-MESSAGE;;Other
NO-ASSIGN;;Other
NO-ATTR-LIST;;Other
NO-ATTR-SPACE;;Other
NO-AUTO-VALIDATE;;Other
NO-BIND-WHERE;;Other
NO-BOX;;Other
NO-CONSOLE;;Other
NO-CONVERT;;Other
NO-CONVERT-3D-COLORS;;Other
NO-DEBUG;;Other
NO-DRAG;;Other
NO-ECHO;;Other
NO-ERROR;;Other
NO-FILL;;Other
NO-HELP;;Other
NO-HIDE;;Other
NO-INDEX-HINT;;Other
NO-INHERIT-BGCOLOR;;Other
NO-INHERIT-FGCOLOR;;Other
NO-JOIN-BY-SQLDB;;Other
NO-KEYCACHE-JOIN;;Other
NO-LABELS;;Other
NO-LOBS;;Other
NO-LOCK;;Other
NO-LOOKAHEAD;;Other
NO-MAP;;Other
NO-MESSAGE;;Other
NONE;;Other
NON-SERIALIZABLE;;Other
NO-PAUSE;;Other
